Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode
MAFUTA KUPAKA 25G,VIMIMINIKA,,,PIECES,5,VESTLINE,,,200.00,Tax 18%,18,Inclusive,300.00,12,
BISCUIT TIK TOK,SNACKS,,,BOX,5,MAMA TIK TOK,,,"1,791.67",Tax 18%,18,Inclusive,"3,000.00",23,
BISCUIT EETSUM,SNACKS,,,BOX,5,EET-SUM MORE,,,"3,916.67",Tax 18%,18,Inclusive,"5,500.00",12,
BISCUIT LOYAL CREAM,SNACKS,,,BOX,5,LOYAL CREAM,,,500.00,Tax 18%,18,Inclusive,600.00,14,
CHOCKLATE ALPELLA,SNACKS,,,PIECES,5,ALPELLA,,,555.56,Tax 18%,18,Inclusive,"1,000.00",14,
CHOCKLATE BREAK,SNACKS,,,PIECES,5,BREAK DELIGHT,,,777.78,Tax 18%,18,Inclusive,"1,000.00",9,
CHOCKLATE YUNKERS,SNACKS,,,PIECES,5,SNIKKER,,,833.33,Tax 18%,18,Inclusive,"1,000.00",12,
CHOCKLATE SNIKKERS ,SNACKS,,,PIECES,5,SNIKKER,,,916.67,Tax 18%,18,Inclusive,"1,500.00",19,
CHOCKLATE RUBYS,SNACKS,,,PIECES,5,RUBYS MAGIC,,,"1,458.33",Tax 18%,18,Inclusive,"1,800.00",24,
CHOCKLATE FIORY,SNACKS,,,PIECES,5,FIORY,,,833.33,Tax 18%,18,Inclusive,"1,000.00",12,
KARANGA GET FRESH,SNACKS,,,PIECES,5,GETFRESH,,,800.00,Tax 18%,18,Inclusive,"1,300.00",18,
TOMATO KINGS DUMU 5LIT,VIMIMINIKA,,,PIECES,5,KING,,,"4,500.00",Tax 18%,18,Inclusive,"4,500.00",8,
BUBLISH PK,SNACKS,,,PIECES,5,BUBLISH,,,500.00,Tax 18%,18,Inclusive,"1,000.00",60,
BUBLISH PK NDOGO,SNACKS,,,PIECES,5,BUBLISH,,,170.00,Tax 18%,18,Inclusive,250.00,0,
KAHAWA 1.6G,FOOD & BEVARAGES,,,PIECES,5,AFRICAFE,,,180.00,Tax 18%,18,Inclusive,200.00,100,
MAJANI CHAI BORA 100GM,FOOD & BEVARAGES,,,PIECES,5,CHAI BORA,,,"2,916.67",Tax 18%,18,Inclusive,"3,500.00",12,
MAJANI CHAI KILIMANJARO 100GM,FOOD & BEVARAGES,,,PIECES,5,KILIMANJARO,,,"2,750.00",Tax 18%,18,Inclusive,"3,200.00",5,
MAJANI A PRIDE 100GM,FOOD & BEVARAGES,,,PIECES,5,AFRCAN PRIDE,,,"3,000.00",Tax 18%,18,Inclusive,"3,500.00",6,
MAJANI GREEN LABEL 100GM,FOOD & BEVARAGES,,,PIECES,5,GREEN LABEL,,,"1,125.00",Tax 18%,18,Inclusive,"1,500.00",12,
MAJANI GREEN LABEL 50GM,FOOD & BEVARAGES,,,PIECES,5,GREEN LABEL,,,535.71,Tax 18%,18,Inclusive,800.00,28,
SABUNI MAQ 250gm,SOAP,,,PIECES,5,MAQ,,,"1,875.00",Tax 18%,18,Inclusive,"2,300.00",25,
PADS HQ,PERSONAL CARE,,,PIECES,5,HQ,,,"3,333.33",Tax 18%,18,Inclusive,"3,500.00",17,
BABY WIPES SOFTCARE,BABY CARE,,,PIECES,5,SOFTCARE,,,"2,666.67",Tax 18%,18,Inclusive,"3,500.00",13,
BABY WIPES BREEZE,BABY CARE,,,PIECES,5,BREEZE,,,"2,500.00",Tax 18%,18,Inclusive,"3,500.00",12,
PADS LAVY,PERSONAL CARE,,,PIECES,5,LAVY,,,"2,708.33",Tax 18%,18,Inclusive,"4,000.00",24,
OMO 1KG,SOAP,,,PIECES,5,OMO,,,"6,250.00",Tax 18%,18,Inclusive,"7,500.00",5,
PADS SOFTCARE ,PERSONAL CARE,,,PIECES,5,SOFTCARE,,,"1,500.00",Tax 18%,18,Inclusive,"2,000.00",44,
BABY WIPES ROYAL,BABY CARE,,,PIECES,5,ROYAL,,,"3,750.00",Tax 18%,18,Inclusive,"5,000.00",23,
BABY WIPES SLEEPS,BABY CARE,,,PIECES,5,SLEEPS,,,"3,750.00",Tax 18%,18,Inclusive,"5,000.00",12,
BABY WIPES MIMA,BABY CARE,,,PIECES,5,MINA,,,"3,750.00",Tax 18%,18,Inclusive,"5,000.00",12,
TISUE VIVA,PERSONAL CARE,,,PIECES,5,SUPERSOFT,,,875.00,Tax 18%,18,Inclusive,"1,500.00",29,
TISUE NAPTKIN,PERSONAL CARE,,,PIECES,5,NAPTKIN,,,875.00,Tax 18%,18,Inclusive,"1,500.00",9,
PADS CATHY,PERSONAL CARE,,,PIECES,5,CATHY,,,"3,333.33",Tax 18%,18,Inclusive,"5,000.00",21,
PAMPAS SLEEP,BABY CARE,,,PIECES,5,SLEEPS,,,"14,400.00",Tax 18%,18,Inclusive,"15,500.00",5,
PAMPAS BABY CHICK,BABY CARE,,,PIECES,5,BABY CHICK,,,"3,333.33",Tax 18%,18,Inclusive,"4,500.00",9,
PAPAS BABY CHICK LARGE,BABY CARE,,,PIECES,5,BABY CHICK,,,"12,500.00",Tax 18%,18,Inclusive,"14,000.00",4,
PAMPAS SOFTCARE SMALL,BABY CARE,,,PIECES,5,SOFTCARE,,,"3,750.00",Tax 18%,18,Inclusive,"4,500.00",9,
PAMPAS SOFTCARE MEDIUM,BABY CARE,,,PIECES,5,SOFTCARE,,,"13,666.67",Tax 18%,18,Inclusive,"15,000.00",14,
PAMPAS SOFTCARE LARGE,BABY CARE,,,PIECES,5,SOFTCARE,,,"20,000.00",Tax 18%,18,Inclusive,"24,000.00",5,
OMO 40g,SOAP,,,PIECES,5,OMO,,,328.57,Tax 18%,18,Inclusive,600.00,70,
